2026-05-13 21:25:29.576 [restartedMain] INFO  c.e.ehrsystem.EhrSystemApplication - Starting EhrSystemApplication using Java 21.0.10 with PID 17408 (/home/ri2/IdeaProjects/EHRSystem/target/classes started by ri2 in /var/www/html/nextjs/ehrSystemFrontend/ehr_system_frontend)
2026-05-13 21:25:29.577 [restartedMain] INFO  c.e.ehrsystem.EhrSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-13 21:25:31.733 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-13 21:25:31.735 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-13 21:25:31.736 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46]
2026-05-13 21:25:31.770 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-13 21:25:32.158 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-13 21:25:32.487 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@412a451f
2026-05-13 21:25:32.492 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-13 21:25:32.538 [restartedMain] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/ehr_system (PostgreSQL 18.1)
2026-05-13 21:25:32.561 [restartedMain] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 18.1 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 17.
2026-05-13 21:25:32.630 [restartedMain] INFO  o.f.core.internal.command.DbValidate - Successfully validated 10 migrations (execution time 00:00.042s)
2026-05-13 21:25:32.661 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 10
2026-05-13 21:25:32.664 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2026-05-13 21:25:33.056 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-13 21:25:34.846 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2026-05-13 21:25:34.847 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-05-13 21:25:36.845 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-05-13 21:25:36.875 [restartedMain] INFO  c.e.ehrsystem.EhrSystemApplication - Started EhrSystemApplication in 7.727 seconds (process running for 8.194)
2026-05-13 23:23:15.317 [http-nio-8080-exec-1] INFO  o.a.tomcat.util.http.parser.Cookie - A cookie header was received [product_view[is_grid]=2;] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2026-05-13 23:23:15.422 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-13 23:23:52.612 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-05-13 23:23:52.641 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-05-13 23:24:27.694 [restartedMain] INFO  c.e.ehrsystem.EhrSystemApplication - Starting EhrSystemApplication using Java 21.0.10 with PID 46081 (/home/ri2/IdeaProjects/EHRSystem/target/classes started by ri2 in /var/www/html/nextjs/ehrSystemFrontend/ehr_system_frontend)
2026-05-13 23:24:27.696 [restartedMain] INFO  c.e.ehrsystem.EhrSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-13 23:24:29.751 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-13 23:24:29.752 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-13 23:24:29.753 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46]
2026-05-13 23:24:29.792 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
